state,enrollments_generated,rejected,email_instances,mobile_instances,bucket
Goa,6741,1869,59,2200,9
Goa,524,115,4,187,10
Goa,30,44,0,22,11
Gujarat,3700617,386245,11387,1303223,1
Gujarat,7998409,583406,65927,3297633,2
Gujarat,7920858,431049,177497,3801986,3
Gujarat,7404487,372777,87995,3267020,4
Gujarat,5863103,308010,48426,2476725,5
Gujarat,3894288,229094,29163,1584751,6
Gujarat,2227688,169687,13341,788566,7
Gujarat,758940,68897,3230,250621,8
Gujarat,140665,11918,548,45339,9
Gujarat,13658,1216,33,4129,10
Gujarat,810,542,4,456,11
Haryana,3530944,464447,21630,2315316,1
Haryana,4714899,400649,45240,2757871,2
Haryana,4366984,351255,123565,2881512,3
Haryana,3428976,236279,63024,2122263,4
Haryana,2572363,170735,31530,1515947,5
Haryana,1622325,109327,16860,919860,6
Haryana,1338964,114796,8496,675874,7
Haryana,516225,41546,2741,248159,8
Haryana,156932,11862,847,81118,9
Haryana,20084,1569,122,11549,10
Haryana,656,203,7,460,11
Himachal Pradesh,667816,61183,1571,151411,1
Himachal Pradesh,883118,71581,10867,234527,2
Himachal Pradesh,896966,52760,44873,389988,3
Himachal Pradesh,797304,36529,17786,303552,4
Himachal Pradesh,618204,28143,6150,207317,5
Himachal Pradesh,419879,19409,2859,118954,6
Himachal Pradesh,263389,12845,886,55506,7
Himachal Pradesh,122276,5660,167,21285,8
Himachal Pradesh,43500,2195,37,7843,9
Himachal Pradesh,6327,242,6,1270,10
Himachal Pradesh,392,50,1,108,11
Jammu and Kashmir,413660,39246,525,125330,1
Jammu and Kashmir,1363427,109373,4143,426965,2
Jammu and Kashmir,1215229,101239,14688,488216,3
Jammu and Kashmir,1010205,82451,5875,396392,4
Jammu and Kashmir,795380,63193,2234,314780,5
Jammu and Kashmir,510883,41018,1249,203962,6
Jammu and Kashmir,296177,24834,508,104465,7
Jammu and Kashmir,122552,10668,140,39288,8
Jammu and Kashmir,27184,3461,27,8292,9
Jammu and Kashmir,3096,572,4,919,10
Jammu and Kashmir,137,35,0,45,11
Jharkhand,4043172,624365,4574,465277,1
Jharkhand,5663945,557984,32789,960968,2
Jharkhand,4709949,480729,78157,1060322,3
Jharkhand,3306526,309933,30064,660815,4
Jharkhand,2443512,221250,11911,421247,5
Jharkhand,1544584,140202,6429,250016,6
Jharkhand,1086730,132015,2516,145689,7
Jharkhand,359546,41859,634,43777,8
Jharkhand,78827,10019,139,9131,9
Jharkhand,8452,1183,12,966,10
Jharkhand,650,258,2,129,11
Karnataka,5265551,850077,43101,3191413,1
Karnataka,7819270,1071156,136996,4761627,2
Karnataka,8499844,1214464,488960,6025056,3
Karnataka,7303994,995305,344538,4968972,4
Karnataka,5526420,752629,140864,3475762,5
Karnataka,3568789,500396,73187,2077659,6
Karnataka,2740384,435447,35188,1338503,7
Karnataka,1003106,174066,9431,451798,8
Karnataka,221231,39289,1628,97820,9
Karnataka,21508,4490,98,9316,10
Karnataka,3519,1930,7,1311,11
Kerala,3399189,668589,23603,1538568,1
Kerala,4957247,1638572,121741,2384368,2
Kerala,4434030,1107724,379209,2689690,3
Kerala,4669909,1281724,219967,2904194,4
Kerala,4518953,1414182,120944,2824832,5
Kerala,3461747,1183266,63331,2007956,6
Kerala,2256193,829066,25606,1170880,7
Kerala,993051,319721,4549,444452,8
Kerala,279732,62986,791,112273,9
Kerala,20837,3175,56,8255,10
Kerala,721,302,12,388,11
Lakshadweep,6306,913,4,950,1
Lakshadweep,9838,2077,35,1326,2
Lakshadweep,11057,1842,228,3566,3
Lakshadweep,9301,1705,129,2426,4
Lakshadweep,7156,1332,43,1564,5
Lakshadweep,4870,951,19,859,6
Lakshadweep,2777,556,3,290,7
Lakshadweep,814,158,2,85,8
Lakshadweep,171,20,0,23,9
Lakshadweep,16,0,0,2,10
Madhya Pradesh,0,1,0,1,-1
Madhya Pradesh,7266740,1389294,41231,1786886,1
Madhya Pradesh,11448757,1524814,111184,3481239,2
Madhya Pradesh,10681820,942284,257850,3965425,3
Madhya Pradesh,8333238,631479,102124,2667817,4
Madhya Pradesh,6318938,443854,51611,1810921,5
Madhya Pradesh,3797244,269317,29802,1002671,6
Madhya Pradesh,2537844,217516,13657,530949,7
Madhya Pradesh,920256,84352,4795,178039,8
Madhya Pradesh,202990,20568,1166,40699,9
Madhya Pradesh,20242,2306,98,4189,10
Madhya Pradesh,1174,480,9,363,11
Maharashtra,1,0,0,0,-1
Maharashtra,11384398,1158168,103081,4415777,1
Maharashtra,14826842,1448656,198101,5471767,2
Maharashtra,14651622,1407877,569295,6854206,3
Maharashtra,12274143,1115319,373965,5410226,4
Maharashtra,9156527,868158,183686,3638030,5
Maharashtra,5776811,565048,101952,2115654,6
Maharashtra,5384357,685603,49104,1410901,7
Maharashtra,2085037,272097,15488,501890,8
Maharashtra,384854,46685,3268,101326,9
Maharashtra,32890,4226,195,8981,10
Maharashtra,2945,2163,22,1112,11
Manipur,90926,7283,106,14993,1
Manipur,244925,15948,2155,63207,2
Manipur,239048,11609,8211,77476,3
Manipur,212859,10831,2828,58346,4
Manipur,162044,8696,667,37574,5
Manipur,114497,6314,366,24534,6
Manipur,65535,3922,88,10546,7
Manipur,26409,1619,23,3501,8
Manipur,8653,494,5,1182,9
Manipur,687,39,0,100,10
Manipur,55,6,0,2,11
Meghalaya,3322,55,9,2015,1
Meghalaya,8065,96,132,5325,2
Meghalaya,10179,385,785,8771,3
Meghalaya,8003,311,258,7053,4
Meghalaya,5722,215,120,4987,5
Meghalaya,2788,68,72,2334,6
Meghalaya,1098,16,19,822,7
Meghalaya,441,4,4,291,8
Meghalaya,100,2,0,60,9
Meghalaya,6,0,0,4,10
Mizoram,27674,1113,2,11550,1
Mizoram,79952,1808,60,37607,2
Mizoram,70526,1925,369,40776,3
Mizoram,70962,1809,144,38174,4
Mizoram,53451,1759,45,28829,5
Mizoram,40746,1701,28,20718,6
Mizoram,21764,1439,5,9878,7
Mizoram,8938,926,1,3630,8
Mizoram,2087,323,1,859,9
Mizoram,120,29,0,62,10
Mizoram,2,1,0,2,11
Nagaland,121778,63713,11,39697,1
Nagaland,208771,120551,222,88274,2
Nagaland,176885,92164,1669,89807,3
Nagaland,145342,81585,495,72478,4
Nagaland,104583,59182,89,48468,5
Nagaland,64324,36293,34,24127,6
Nagaland,36735,21137,4,9745,7
Nagaland,17897,10237,2,3104,8
Nagaland,5790,3620,0,757,9
Nagaland,1037,684,0,108,10
Nagaland,178,94,0,26,11
Odisha,2167116,517925,2148,305660,1
Odisha,5558068,1236779,14887,828163,2
Odisha,5046487,1092883,59191,1098108,3
Odisha,4546538,1055806,26096,907519,4
Odisha,3714599,886704,8931,712649,5
Odisha,2424247,583662,4157,446239,6
Odisha,1565883,397369,1397,221862,7
Odisha,592438,168298,350,76660,8
Odisha,119618,33439,66,15728,9
Odisha,10748,4036,7,1486,10
Odisha,1233,1115,2,219,11
Others,383591,293072,633,83113,1
Others,979658,722752,3691,213969,2
Others,873954,625882,11706,242963,3
Others,803880,574316,5346,218786,4
Others,703065,495768,2387,189198,5
Others,483474,333919,1362,125613,6
Others,309565,216767,590,68006,7
Others,123341,89917,120,23416,8
Others,24871,18255,21,4140,9
Others,2061,1716,0,297,10
Others,267,407,0,60,11
Puducherry,76582,27745,316,44681,1
Puducherry,88883,59946,1148,69833,2
Puducherry,97722,57868,4632,86443,3
Puducherry,98040,58959,3059,89878,4
Puducherry,75760,47118,1390,69366,5
Puducherry,49660,31978,682,42154,6
Puducherry,32131,21610,297,22624,7
Puducherry,14272,9560,43,8766,8
Puducherry,4163,2300,16,2282,9
Puducherry,416,211,1,229,10
Puducherry,82,79,2,64,11
Punjab,3119515,440667,41223,1072810,1
Punjab,4058753,455197,33531,1295478,2
Punjab,4224327,382171,76195,1613999,3
Punjab,3406546,251380,37939,1210403,4
Punjab,2639326,189593,17272,859964,5
Punjab,1753298,127057,10930,549512,6
Punjab,1310893,111769,6511,331324,7
Punjab,533225,43878,3237,125739,8
Punjab,142506,10852,1222,34249,9
Punjab,17732,1289,203,4454,10
Punjab,1012,238,10,298,11
Rajasthan,4432996,793312,16628,1172709,1
Rajasthan,10986979,1252642,64282,3580508,2
Rajasthan,10136257,990120,147778,3875488,3
Rajasthan,7529611,635435,56966,2486436,4
Rajasthan,5842275,494502,26495,1735806,5
Rajasthan,4005688,373409,15207,1069435,6
Rajasthan,2751042,296226,7233,617155,7
Rajasthan,1075781,118060,2886,241131,8
Rajasthan,257506,29556,944,67923,9
Rajasthan,26218,3604,123,7927,10
Rajasthan,1082,602,8,453,11
Sikkim,55125,2742,75,5524,1
Sikkim,78259,3127,223,6486,2
Sikkim,81877,3078,1539,13550,3
Sikkim,60102,1843,641,8083,4
Sikkim,38860,1176,206,4098,5
Sikkim,24990,762,82,2350,6
Sikkim,13974,439,26,1247,7
Sikkim,6832,237,3,671,8
Sikkim,1828,69,0,295,9
Sikkim,177,8,1,42,10
Sikkim,10,4,0,0,11
Tamil Nadu,3010887,299332,8149,1890999,1
Tamil Nadu,9155893,1013995,67224,5495762,2
Tamil Nadu,8867145,977789,265756,5749337,3
Tamil Nadu,9011713,1036096,106642,5761892,4
Tamil Nadu,7997563,969866,44254,4996025,5
Tamil Nadu,5691438,750741,26187,3294395,6
Tamil Nadu,3653374,572698,12271,1835980,7
Tamil Nadu,1373609,260346,3659,638721,8
Tamil Nadu,285031,54113,720,129495,9
Tamil Nadu,20556,4890,64,9640,10
Tamil Nadu,10377,3584,6,4469,11
Telangana,817845,63096,12569,650714,1
Telangana,72129,28602,2093,75347,2
Telangana,125665,40294,6278,133765,3
Telangana,94435,24919,6683,97155,4
Telangana,49825,14219,2652,49729,5
Telangana,26384,9283,1090,25864,6
Telangana,25517,11505,656,23119,7
Telangana,15403,4766,287,12319,8
Telangana,6514,1331,119,4994,9
Telangana,1142,180,15,876,10
Telangana,37,10,0,26,11
Tripura,188853,58855,111,44363,1
Tripura,139161,41353,331,32772,2
Tripura,174328,44062,2563,63088,3
Tripura,132821,31484,1041,46361,4
Tripura,103501,24973,349,31367,5
Tripura,66109,15802,181,18941,6
Tripura,37351,9324,61,9121,7
Tripura,17464,4395,7,4034,8
Tripura,6648,1291,2,1718,9
Tripura,1327,263,0,363,10
Tripura,122,77,0,27,11
Uttar Pradesh,6227244,807305,23041,2497562,1
Uttar Pradesh,30202639,2532367,175326,12935948,2
Uttar Pradesh,27572236,2416299,412423,14595782,3
Uttar Pradesh,20664861,1774438,170589,9589236,4
Uttar Pradesh,15594652,1356213,82575,6779538,5
Uttar Pradesh,9758037,859453,48866,4058276,6
Uttar Pradesh,6374150,646477,25883,2388645,7
Uttar Pradesh,1822910,213573,8187,689786,8
Uttar Pradesh,317898,40711,1683,123985,9
Uttar Pradesh,29719,6193,152,12208,10
Uttar Pradesh,1320,1164,14,822,11
Uttarakhand,445193,43855,2081,212864,1
Uttarakhand,1492268,129149,13183,785067,2
Uttarakhand,1365931,109704,40171,866239,3
Uttarakhand,1105568,88193,18121,675249,4
Uttarakhand,830857,65725,8042,486957,5
Uttarakhand,545748,42274,4344,306622,6
Uttarakhand,393412,33834,2150,194397,7
Uttarakhand,141552,12166,649,68036,8
Uttarakhand,30346,2503,160,13959,9
Uttarakhand,2349,296,16,1183,10
Uttarakhand,69,50,1,59,11
West Bengal,4847008,820638,2435,393974,1
West Bengal,13302289,1413875,15960,1177513,2
West Bengal,13471774,1437025,75384,1700836,3
West Bengal,10734293,1206141,34572,1321689,4
West Bengal,9789156,1149705,14203,1145556,5
West Bengal,6325221,837859,8403,772309,6
West Bengal,3401050,579901,3490,398301,7
West Bengal,1220437,277893,886,141984,8
West Bengal,230359,56137,123,26192,9
West Bengal,19874,6764,5,2187,10
West Bengal,4093,1453,2,321,11
