state,bucket,enrollments_generated
Uttarakhand,3,1365931
Uttarakhand,4,1105568
Uttarakhand,5,830857
Uttarakhand,6,545748
Uttarakhand,7,393412
Uttarakhand,8,141552
Uttarakhand,9,30346
Uttarakhand,10,2349
Uttarakhand,11,69
West Bengal,1,4847008
West Bengal,2,13302289
West Bengal,3,13471774
West Bengal,4,10734293
West Bengal,5,9789156
West Bengal,6,6325221
West Bengal,7,3401050
West Bengal,8,1220437
West Bengal,9,230359
West Bengal,10,19874
West Bengal,11,4093
